timestamp,username,risk_score,risk_level,ml_prediction,final_status,top_correlation,mitre,reasons,indicators,ml_score,ml_deviations
2026-07-15T22:24:05.554918,Rahim,680,HIGH,ANOMALY,CRITICAL,USB Malware Activity,T1003; T1041; T1046; T1053; T1059; T1071; T1078; T1091; T1105; T1110; T1204.002; T1547; T1548; T1552; T1555,Unusual login hour; Unusual logout hour; Failed login attempts; Different process activity; USB activity detected; Executable launched from USB / removable media; PowerShell / script interpreter used; Executable / script dropped in a download or temp location; Encoded / obfuscated command executed; Privilege escalation attempt (U2R); Suspicious sudo / root escalation (U2R); SSH brute-force activity (R2L); Credential store or secret file accessed; Persistence mechanism created; Network IDS signature alert (Suricata); Network scan detected on the wire; Contact with a malicious / C2 host; Large outbound transfer (possible exfiltration); Wazuh SIEM rule alert,Executable from USB: Executed invoice.pdf.exe from removable drive || PowerShell / interpreter: powershell.exe launched || Encoded PowerShell: powershell -enc SQBmAC... (obfuscated) || Suspicious download: payload.exe dropped in Downloads || Credential/secret access: reg save hklm\sam || Port scan (network): ET SCAN Potential SSH Scan | 203.0.113.44 -> 192.168.1.20 || Port scan (network): ET SCAN Behavioral Unusual Port 22 traffic | 203.0.113.44 -> 192.168.1.20 || Malicious/C2 host: ET MALWARE Cobalt Strike Beacon Observed | 192.168.1.20 -> 198.51.100.7 || Malicious/C2 host: ET MALWARE Observed Malicious C2 Domain | 192.168.1.20 -> 198.51.100.7 || Data exfiltration: large outbound flow (52428800 bytes) | 192.168.1.20 -> 198.51.100.7 || Network IDS alert: ET WEB_SERVER Possible SQL Injection | 203.0.113.90 -> 192.168.1.20 || Wazuh SIEM alert: level=5 | rule=5716 | sshd: authentication failed.,65.9,"activity rate up (13.0 vs usual 2.0, +24.1 SD) || logout time down (4.0 vs usual 17.3, -12.1 SD) || off-hours activity up (1.0 vs usual 0.1, +6.2 SD) || login time down (2.0 vs usual 8.6, -6.0 SD) || active-hours spread down (2.0 vs usual 8.0, -4.4 SD) || session length down (2.0 vs usual 8.7, -4.2 SD)"
2026-07-15T22:45:06.780054,Rahim,680,HIGH,ANOMALY,CRITICAL,USB Malware Activity,T1003; T1041; T1046; T1053; T1059; T1071; T1078; T1091; T1105; T1110; T1204.002; T1547; T1548; T1552; T1555,Unusual login hour; Unusual logout hour; Failed login attempts; Different process activity; USB activity detected; Executable launched from USB / removable media; PowerShell / script interpreter used; Executable / script dropped in a download or temp location; Encoded / obfuscated command executed; Privilege escalation attempt (U2R); Suspicious sudo / root escalation (U2R); SSH brute-force activity (R2L); Credential store or secret file accessed; Persistence mechanism created; Network IDS signature alert (Suricata); Network scan detected on the wire; Contact with a malicious / C2 host; Large outbound transfer (possible exfiltration); Wazuh SIEM rule alert,Executable from USB: Executed invoice.pdf.exe from removable drive || PowerShell / interpreter: powershell.exe launched || Encoded PowerShell: powershell -enc SQBmAC... (obfuscated) || Suspicious download: payload.exe dropped in Downloads || Credential/secret access: reg save hklm\sam || Port scan (network): ET SCAN Potential SSH Scan | 203.0.113.44 -> 192.168.1.20 || Port scan (network): ET SCAN Behavioral Unusual Port 22 traffic | 203.0.113.44 -> 192.168.1.20 || Malicious/C2 host: ET MALWARE Cobalt Strike Beacon Observed | 192.168.1.20 -> 198.51.100.7 || Malicious/C2 host: ET MALWARE Observed Malicious C2 Domain | 192.168.1.20 -> 198.51.100.7 || Data exfiltration: large outbound flow (52428800 bytes) | 192.168.1.20 -> 198.51.100.7 || Network IDS alert: ET WEB_SERVER Possible SQL Injection | 203.0.113.90 -> 192.168.1.20 || Wazuh SIEM alert: level=5 | rule=5716 | sshd: authentication failed.,65.9,"activity rate up (13.0 vs usual 2.0, +24.1 SD) || logout time down (4.0 vs usual 17.3, -12.1 SD) || off-hours activity up (1.0 vs usual 0.1, +6.2 SD) || login time down (2.0 vs usual 8.6, -6.0 SD) || active-hours spread down (2.0 vs usual 8.0, -4.4 SD) || session length down (2.0 vs usual 8.7, -4.2 SD)"
2026-07-15T22:45:38.641361,Rahim,680,HIGH,ANOMALY,CRITICAL,USB Malware Activity,T1003; T1041; T1046; T1053; T1059; T1071; T1078; T1091; T1105; T1110; T1204.002; T1547; T1548; T1552; T1555,Unusual login hour; Unusual logout hour; Failed login attempts; Different process activity; USB activity detected; Executable launched from USB / removable media; PowerShell / script interpreter used; Executable / script dropped in a download or temp location; Encoded / obfuscated command executed; Privilege escalation attempt (U2R); Suspicious sudo / root escalation (U2R); SSH brute-force activity (R2L); Credential store or secret file accessed; Persistence mechanism created; Network IDS signature alert (Suricata); Network scan detected on the wire; Contact with a malicious / C2 host; Large outbound transfer (possible exfiltration); Wazuh SIEM rule alert,Executable from USB: Executed invoice.pdf.exe from removable drive || PowerShell / interpreter: powershell.exe launched || Encoded PowerShell: powershell -enc SQBmAC... (obfuscated) || Suspicious download: payload.exe dropped in Downloads || Credential/secret access: reg save hklm\sam || Port scan (network): ET SCAN Potential SSH Scan | 203.0.113.44 -> 192.168.1.20 || Port scan (network): ET SCAN Behavioral Unusual Port 22 traffic | 203.0.113.44 -> 192.168.1.20 || Malicious/C2 host: ET MALWARE Cobalt Strike Beacon Observed | 192.168.1.20 -> 198.51.100.7 || Malicious/C2 host: ET MALWARE Observed Malicious C2 Domain | 192.168.1.20 -> 198.51.100.7 || Data exfiltration: large outbound flow (52428800 bytes) | 192.168.1.20 -> 198.51.100.7 || Network IDS alert: ET WEB_SERVER Possible SQL Injection | 203.0.113.90 -> 192.168.1.20 || Wazuh SIEM alert: level=5 | rule=5716 | sshd: authentication failed.,65.9,"activity rate up (13.0 vs usual 2.0, +24.1 SD) || logout time down (4.0 vs usual 17.3, -12.1 SD) || off-hours activity up (1.0 vs usual 0.1, +6.2 SD) || login time down (2.0 vs usual 8.6, -6.0 SD) || active-hours spread down (2.0 vs usual 8.0, -4.4 SD) || session length down (2.0 vs usual 8.7, -4.2 SD)"
2026-07-15T22:53:35.046491,Rahim,680,HIGH,ANOMALY,CRITICAL,USB Malware Activity,T1003; T1041; T1046; T1053; T1059; T1071; T1078; T1091; T1105; T1110; T1204.002; T1547; T1548; T1552; T1555,Unusual login hour; Unusual logout hour; Failed login attempts; Different process activity; USB activity detected; Executable launched from USB / removable media; PowerShell / script interpreter used; Executable / script dropped in a download or temp location; Encoded / obfuscated command executed; Privilege escalation attempt (U2R); Suspicious sudo / root escalation (U2R); SSH brute-force activity (R2L); Credential store or secret file accessed; Persistence mechanism created; Network IDS signature alert (Suricata); Network scan detected on the wire; Contact with a malicious / C2 host; Large outbound transfer (possible exfiltration); Wazuh SIEM rule alert,Executable from USB: Executed invoice.pdf.exe from removable drive || PowerShell / interpreter: powershell.exe launched || Encoded PowerShell: powershell -enc SQBmAC... (obfuscated) || Suspicious download: payload.exe dropped in Downloads || Credential/secret access: reg save hklm\sam || Port scan (network): ET SCAN Potential SSH Scan | 203.0.113.44 -> 192.168.1.20 || Port scan (network): ET SCAN Behavioral Unusual Port 22 traffic | 203.0.113.44 -> 192.168.1.20 || Malicious/C2 host: ET MALWARE Cobalt Strike Beacon Observed | 192.168.1.20 -> 198.51.100.7 || Malicious/C2 host: ET MALWARE Observed Malicious C2 Domain | 192.168.1.20 -> 198.51.100.7 || Data exfiltration: large outbound flow (52428800 bytes) | 192.168.1.20 -> 198.51.100.7 || Network IDS alert: ET WEB_SERVER Possible SQL Injection | 203.0.113.90 -> 192.168.1.20 || Wazuh SIEM alert: level=5 | rule=5716 | sshd: authentication failed.,65.9,"activity rate up (13.0 vs usual 2.0, +24.1 SD) || logout time down (4.0 vs usual 17.3, -12.1 SD) || off-hours activity up (1.0 vs usual 0.1, +6.2 SD) || login time down (2.0 vs usual 8.6, -6.0 SD) || active-hours spread down (2.0 vs usual 8.0, -4.4 SD) || session length down (2.0 vs usual 8.7, -4.2 SD)"
2026-07-15T22:54:15.803562,Rahim,680,HIGH,ANOMALY,CRITICAL,USB Malware Activity,T1003; T1041; T1046; T1053; T1059; T1071; T1078; T1091; T1105; T1110; T1204.002; T1547; T1548; T1552; T1555,Unusual login hour; Unusual logout hour; Failed login attempts; Different process activity; USB activity detected; Executable launched from USB / removable media; PowerShell / script interpreter used; Executable / script dropped in a download or temp location; Encoded / obfuscated command executed; Privilege escalation attempt (U2R); Suspicious sudo / root escalation (U2R); SSH brute-force activity (R2L); Credential store or secret file accessed; Persistence mechanism created; Network IDS signature alert (Suricata); Network scan detected on the wire; Contact with a malicious / C2 host; Large outbound transfer (possible exfiltration); Wazuh SIEM rule alert,Executable from USB: Executed invoice.pdf.exe from removable drive || PowerShell / interpreter: powershell.exe launched || Encoded PowerShell: powershell -enc SQBmAC... (obfuscated) || Suspicious download: payload.exe dropped in Downloads || Credential/secret access: reg save hklm\sam || Port scan (network): ET SCAN Potential SSH Scan | 203.0.113.44 -> 192.168.1.20 || Port scan (network): ET SCAN Behavioral Unusual Port 22 traffic | 203.0.113.44 -> 192.168.1.20 || Malicious/C2 host: ET MALWARE Cobalt Strike Beacon Observed | 192.168.1.20 -> 198.51.100.7 || Malicious/C2 host: ET MALWARE Observed Malicious C2 Domain | 192.168.1.20 -> 198.51.100.7 || Data exfiltration: large outbound flow (52428800 bytes) | 192.168.1.20 -> 198.51.100.7 || Network IDS alert: ET WEB_SERVER Possible SQL Injection | 203.0.113.90 -> 192.168.1.20 || Wazuh SIEM alert: level=5 | rule=5716 | sshd: authentication failed.,65.9,"activity rate up (13.0 vs usual 2.0, +24.1 SD) || logout time down (4.0 vs usual 17.3, -12.1 SD) || off-hours activity up (1.0 vs usual 0.1, +6.2 SD) || login time down (2.0 vs usual 8.6, -6.0 SD) || active-hours spread down (2.0 vs usual 8.0, -4.4 SD) || session length down (2.0 vs usual 8.7, -4.2 SD)"
2026-07-17T08:26:32.684023,Rahim,680,HIGH,ANOMALY,CRITICAL,USB Malware Activity,T1003; T1041; T1046; T1053; T1059; T1071; T1078; T1091; T1105; T1110; T1204.002; T1547; T1548; T1552; T1555,Unusual login hour; Unusual logout hour; Failed login attempts; Different process activity; USB activity detected; Executable launched from USB / removable media; PowerShell / script interpreter used; Executable / script dropped in a download or temp location; Encoded / obfuscated command executed; Privilege escalation attempt (U2R); Suspicious sudo / root escalation (U2R); SSH brute-force activity (R2L); Credential store or secret file accessed; Persistence mechanism created; Network IDS signature alert (Suricata); Network scan detected on the wire; Contact with a malicious / C2 host; Large outbound transfer (possible exfiltration); Wazuh SIEM rule alert,Executable from USB: Executed invoice.pdf.exe from removable drive || PowerShell / interpreter: powershell.exe launched || Encoded PowerShell: powershell -enc SQBmAC... (obfuscated) || Suspicious download: payload.exe dropped in Downloads || Credential/secret access: reg save hklm\sam || Port scan (network): ET SCAN Potential SSH Scan | 203.0.113.44 -> 192.168.1.20 || Port scan (network): ET SCAN Behavioral Unusual Port 22 traffic | 203.0.113.44 -> 192.168.1.20 || Malicious/C2 host: ET MALWARE Cobalt Strike Beacon Observed | 192.168.1.20 -> 198.51.100.7 || Malicious/C2 host: ET MALWARE Observed Malicious C2 Domain | 192.168.1.20 -> 198.51.100.7 || Data exfiltration: large outbound flow (52428800 bytes) | 192.168.1.20 -> 198.51.100.7 || Network IDS alert: ET WEB_SERVER Possible SQL Injection | 203.0.113.90 -> 192.168.1.20 || Wazuh SIEM alert: level=5 | rule=5716 | sshd: authentication failed.,65.9,"activity rate up (13.0 vs usual 2.0, +24.1 SD) || logout time down (4.0 vs usual 17.3, -12.1 SD) || off-hours activity up (1.0 vs usual 0.1, +6.2 SD) || login time down (2.0 vs usual 8.6, -6.0 SD) || active-hours spread down (2.0 vs usual 8.0, -4.4 SD) || session length down (2.0 vs usual 8.7, -4.2 SD)"
2026-07-18T19:46:08.026500,Rahim,680,HIGH,ANOMALY,CRITICAL,USB Malware Activity,T1003; T1041; T1046; T1053; T1059; T1071; T1078; T1091; T1105; T1110; T1204.002; T1547; T1548; T1552; T1555,Unusual login hour; Unusual logout hour; Failed login attempts; Different process activity; USB activity detected; Executable launched from USB / removable media; PowerShell / script interpreter used; Executable / script dropped in a download or temp location; Encoded / obfuscated command executed; Privilege escalation attempt (U2R); Suspicious sudo / root escalation (U2R); SSH brute-force activity (R2L); Credential store or secret file accessed; Persistence mechanism created; Network IDS signature alert (Suricata); Network scan detected on the wire; Contact with a malicious / C2 host; Large outbound transfer (possible exfiltration); Wazuh SIEM rule alert,Executable from USB: Executed invoice.pdf.exe from removable drive || PowerShell / interpreter: powershell.exe launched || Encoded PowerShell: powershell -enc SQBmAC... (obfuscated) || Suspicious download: payload.exe dropped in Downloads || Credential/secret access: reg save hklm\sam || Port scan (network): ET SCAN Potential SSH Scan | 203.0.113.44 -> 192.168.1.20 || Port scan (network): ET SCAN Behavioral Unusual Port 22 traffic | 203.0.113.44 -> 192.168.1.20 || Malicious/C2 host: ET MALWARE Cobalt Strike Beacon Observed | 192.168.1.20 -> 198.51.100.7 || Malicious/C2 host: ET MALWARE Observed Malicious C2 Domain | 192.168.1.20 -> 198.51.100.7 || Data exfiltration: large outbound flow (52428800 bytes) | 192.168.1.20 -> 198.51.100.7 || Network IDS alert: ET WEB_SERVER Possible SQL Injection | 203.0.113.90 -> 192.168.1.20 || Wazuh SIEM alert: level=5 | rule=5716 | sshd: authentication failed.,65.9,"activity rate up (13.0 vs usual 2.0, +24.1 SD) || logout time down (4.0 vs usual 17.3, -12.1 SD) || off-hours activity up (1.0 vs usual 0.1, +6.2 SD) || login time down (2.0 vs usual 8.6, -6.0 SD) || active-hours spread down (2.0 vs usual 8.0, -4.4 SD) || session length down (2.0 vs usual 8.7, -4.2 SD)"
2026-07-18T20:43:19.613313,Rahim,680,HIGH,ANOMALY,CRITICAL,USB Malware Activity,T1003; T1041; T1046; T1053; T1059; T1071; T1078; T1091; T1105; T1110; T1204.002; T1547; T1548; T1552; T1555,Unusual login hour; Unusual logout hour; Failed login attempts; Different process activity; USB activity detected; Executable launched from USB / removable media; PowerShell / script interpreter used; Executable / script dropped in a download or temp location; Encoded / obfuscated command executed; Privilege escalation attempt (U2R); Suspicious sudo / root escalation (U2R); SSH brute-force activity (R2L); Credential store or secret file accessed; Persistence mechanism created; Network IDS signature alert (Suricata); Network scan detected on the wire; Contact with a malicious / C2 host; Large outbound transfer (possible exfiltration); Wazuh SIEM rule alert,Executable from USB: Executed invoice.pdf.exe from removable drive || PowerShell / interpreter: powershell.exe launched || Encoded PowerShell: powershell -enc SQBmAC... (obfuscated) || Suspicious download: payload.exe dropped in Downloads || Credential/secret access: reg save hklm\sam || Port scan (network): ET SCAN Potential SSH Scan | 203.0.113.44 -> 192.168.1.20 || Port scan (network): ET SCAN Behavioral Unusual Port 22 traffic | 203.0.113.44 -> 192.168.1.20 || Malicious/C2 host: ET MALWARE Cobalt Strike Beacon Observed | 192.168.1.20 -> 198.51.100.7 || Malicious/C2 host: ET MALWARE Observed Malicious C2 Domain | 192.168.1.20 -> 198.51.100.7 || Data exfiltration: large outbound flow (52428800 bytes) | 192.168.1.20 -> 198.51.100.7 || Network IDS alert: ET WEB_SERVER Possible SQL Injection | 203.0.113.90 -> 192.168.1.20 || Wazuh SIEM alert: level=5 | rule=5716 | sshd: authentication failed.,65.9,"activity rate up (13.0 vs usual 2.0, +24.1 SD) || logout time down (4.0 vs usual 17.3, -12.1 SD) || off-hours activity up (1.0 vs usual 0.1, +6.2 SD) || login time down (2.0 vs usual 8.6, -6.0 SD) || active-hours spread down (2.0 vs usual 8.0, -4.4 SD) || session length down (2.0 vs usual 8.7, -4.2 SD)"
2026-08-14T08:20:24.196450,Rahim,680,HIGH,ANOMALY,CRITICAL,USB Malware Activity,T1003; T1041; T1046; T1053; T1059; T1071; T1078; T1091; T1105; T1110; T1204.002; T1547; T1548; T1552; T1555,Unusual login hour; Unusual logout hour; Failed login attempts; Different process activity; USB activity detected; Executable launched from USB / removable media; PowerShell / script interpreter used; Executable / script dropped in a download or temp location; Encoded / obfuscated command executed; Privilege escalation attempt (U2R); Suspicious sudo / root escalation (U2R); SSH brute-force activity (R2L); Credential store or secret file accessed; Persistence mechanism created; Network IDS signature alert (Suricata); Network scan detected on the wire; Contact with a malicious / C2 host; Large outbound transfer (possible exfiltration); Wazuh SIEM rule alert,Executable from USB: Executed invoice.pdf.exe from removable drive || PowerShell / interpreter: powershell.exe launched || Encoded PowerShell: powershell -enc SQBmAC... (obfuscated) || Suspicious download: payload.exe dropped in Downloads || Credential/secret access: reg save hklm\sam || Port scan (network): ET SCAN Potential SSH Scan | 203.0.113.44 -> 192.168.1.20 || Port scan (network): ET SCAN Behavioral Unusual Port 22 traffic | 203.0.113.44 -> 192.168.1.20 || Malicious/C2 host: ET MALWARE Cobalt Strike Beacon Observed | 192.168.1.20 -> 198.51.100.7 || Malicious/C2 host: ET MALWARE Observed Malicious C2 Domain | 192.168.1.20 -> 198.51.100.7 || Data exfiltration: large outbound flow (52428800 bytes) | 192.168.1.20 -> 198.51.100.7 || Network IDS alert: ET WEB_SERVER Possible SQL Injection | 203.0.113.90 -> 192.168.1.20 || Wazuh SIEM alert: level=5 | rule=5716 | sshd: authentication failed.,65.9,"activity rate up (13.0 vs usual 2.0, +24.1 SD) || logout time down (4.0 vs usual 17.3, -12.1 SD) || off-hours activity up (1.0 vs usual 0.1, +6.2 SD) || login time down (2.0 vs usual 8.6, -6.0 SD) || active-hours spread down (2.0 vs usual 8.0, -4.4 SD) || session length down (2.0 vs usual 8.7, -4.2 SD)"
2026-08-19T08:20:01.567172,Rahim,680,HIGH,ANOMALY,CRITICAL,USB Malware Activity,T1003; T1041; T1046; T1053; T1059; T1071; T1078; T1091; T1105; T1110; T1204.002; T1547; T1548; T1552; T1555,Unusual login hour; Unusual logout hour; Failed login attempts; Different process activity; USB activity detected; Executable launched from USB / removable media; PowerShell / script interpreter used; Executable / script dropped in a download or temp location; Encoded / obfuscated command executed; Privilege escalation attempt (U2R); Suspicious sudo / root escalation (U2R); SSH brute-force activity (R2L); Credential store or secret file accessed; Persistence mechanism created; Network IDS signature alert (Suricata); Network scan detected on the wire; Contact with a malicious / C2 host; Large outbound transfer (possible exfiltration); Wazuh SIEM rule alert,Executable from USB: Executed invoice.pdf.exe from removable drive || PowerShell / interpreter: powershell.exe launched || Encoded PowerShell: powershell -enc SQBmAC... (obfuscated) || Suspicious download: payload.exe dropped in Downloads || Credential/secret access: reg save hklm\sam || Port scan (network): ET SCAN Potential SSH Scan | 203.0.113.44 -> 192.168.1.20 || Port scan (network): ET SCAN Behavioral Unusual Port 22 traffic | 203.0.113.44 -> 192.168.1.20 || Malicious/C2 host: ET MALWARE Cobalt Strike Beacon Observed | 192.168.1.20 -> 198.51.100.7 || Malicious/C2 host: ET MALWARE Observed Malicious C2 Domain | 192.168.1.20 -> 198.51.100.7 || Data exfiltration: large outbound flow (52428800 bytes) | 192.168.1.20 -> 198.51.100.7 || Network IDS alert: ET WEB_SERVER Possible SQL Injection | 203.0.113.90 -> 192.168.1.20 || Wazuh SIEM alert: level=5 | rule=5716 | sshd: authentication failed.,65.9,"activity rate up (13.0 vs usual 2.0, +24.1 SD) || logout time down (4.0 vs usual 17.3, -12.1 SD) || off-hours activity up (1.0 vs usual 0.1, +6.2 SD) || login time down (2.0 vs usual 8.6, -6.0 SD) || active-hours spread down (2.0 vs usual 8.0, -4.4 SD) || session length down (2.0 vs usual 8.7, -4.2 SD)"
